2026-04-21 14:25:22,481 - preprocessing - INFO - 7650 input genotype samples from VITEK_test_1
2026-04-21 14:25:22,778 - root - INFO - Index(['SeqID', 'Source', 'Type', 'Start', 'End', 'Score', 'Strand', 'Phase',
       'Attributes', 'Sample_ID_IfH'],
      dtype='object')
2026-04-21 14:25:39,518 - preprocessing - INFO - 7481 input genotype samples overall
2026-04-21 14:25:39,633 - preprocessing - INFO - 200 input phenotype samples from VITEK_test_1
2026-04-21 14:25:39,634 - preprocessing - INFO - No duplicate IDs found.
2026-04-21 14:25:39,638 - preprocessing - INFO - 200 input phenotype samples overall
2026-04-21 14:25:39,658 - preprocessing - INFO - 🔻 Removing rows due to rare classes:
2026-04-21 14:25:39,659 - preprocessing - INFO -     Sample_ID_IfH Organism_Code Meropenem Ertapenem Tobramycin  ... Moxifloxacin Ticarcillin-clavulanic acid Piperacillin Colistin Fosfomycin
41    72407.55200           EKP         S         S          S  ...          NaN                         NaN          NaN      NaN        NaN
61      573.27345           EKP         S       NaN        NaN  ...          NaN                         NaN          NaN      NaN        NaN

[2 rows x 35 columns]
2026-04-21 14:25:39,714 - preprocessing - INFO - 🔻 Removing rows due to rare classes:
2026-04-21 14:25:39,714 - preprocessing - INFO -      Sample_ID_IfH Organism_Code Meropenem Ertapenem Tobramycin  ... Moxifloxacin Ticarcillin-clavulanic acid Piperacillin Colistin Fosfomycin
108      573.57110           EKP         S         S          S  ...          NaN                         NaN          NaN      NaN        NaN
131      573.42905           EKP         R         R          S  ...            R                         NaN          NaN      NaN        NaN

[2 rows x 35 columns]
2026-04-21 14:25:39,788 - preprocessing - INFO - Organism_mapping: {0: 'EKP'}
2026-04-21 14:25:39,813 - preprocessing - INFO - Total number of samples: 196
2026-04-21 14:25:39,814 - preprocessing - INFO - Number of features: 987
2026-04-21 14:25:39,817 - stacked_rf - WARNING - In PREDICT_AND_EVALUATE all samples are used for test
2026-04-21 14:25:44,756 - utils - WARNING - Skipping evaluation per organism for organism 0 due to single class in target 'Trimethoprim-sulfamethoxazole_AB'.
2026-04-21 14:25:45,059 - utils - WARNING - Skipping evaluation per organism for organism 0 due to single class in target 'Ceftriaxone_AB'.
2026-04-21 14:25:46,174 - utils - DEBUG -   Class S ROC AUC: 0.922063492063492}
2026-04-21 14:25:46,175 - matplotlib.pyplot - DEBUG - Loaded backend agg version v2.2.
2026-04-21 14:25:46,178 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2026-04-21 14:25:46,178 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/projects/envs/conda/jzander/envs/WIN-KID_env3/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-SemiboldIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-B.ttf', name='Ubuntu', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-BI.ttf', name='Ubuntu', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-LightIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-BlackIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-Bold.ttf', name='Source Code Pro', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-Medium.ttf', name='Source Code Pro', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/UbuntuMono-R.ttf', name='Ubuntu Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,179 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-Regular.ttf', name='Source Code Pro', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-BoldIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-ExtraLight.ttf', name='Source Code Pro', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-R.ttf', name='Ubuntu', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-MediumIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-Light.ttf', name='Source Code Pro', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Inconsolata-Regular.ttf', name='Inconsolata', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-M.ttf', name='Ubuntu', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-MI.ttf', name='Ubuntu', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Inconsolata-Bold.ttf', name='Inconsolata', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-C.ttf', name='Ubuntu Condensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/UbuntuMono-B.ttf', name='Ubuntu Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-Semibold.ttf', name='Source Code Pro', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-ExtraLightIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=200, stretch='normal', size='scalable')) = 11.24
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/Ubuntu-RI.ttf', name='Ubuntu', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-04-21 14:25:46,180 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/local/work/julian/RiboSnake/.snakemake/conda/97f0769c036c5dcaa4ffbc5a48074e0c_/fonts/SourceCodePro-It.ttf', name='Source Code Pro', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
